Datatype|TransactionID|OrderDate|TotalPrice
THDR|CA-2017-152156|11/08/2017|993.9
THDR|CA-2017-138688|06/12/2017|14.62
THDR|US-2016-108966|10/11/2016|979.9455
THDR|CA-2015-115812|06/09/2015|3714.304
THDR|CA-2018-114412|15/04/2018|15.552
THDR|CA-2017-161389|12/05/2017|407.976
THDR|US-2016-118983|22/11/2016|71.354
THDR|CA-2015-105893|11/11/2015|665.88
THDR|CA-2015-167164|13/05/2015|55.5
THDR|CA-2015-143336|27/08/2015|244.76
THDR|CA-2017-137330|12/09/2017|79.8
THDR|US-2018-156909|16/07/2018|71.372
THDR|CA-2016-106320|25/09/2016|1044.63
THDR|CA-2017-121755|16/01/2017|102.218
THDR|US-2016-150630|17/09/2016|3329.434
THDR|CA-2018-107727|19/10/2018|29.472
THDR|CA-2017-117590|12/08/2017|1288.464
THDR|CA-2016-117415|27/12/2016|1228.9532
THDR|CA-2018-120999|09/10/2018|147.168
THDR|CA-2017-101343|17/07/2017|77.88
THDR|CA-2018-139619|19/09/2018|95.616
THDR|CA-2017-118255|03/11/2017|63.44
THDR|CA-2015-146703|20/10/2015|211.96
THDR|CA-2017-169194|20/06/2017|66.8
THDR|CA-2016-115742|18/04/2016|209.55
THDR|CA-2017-105816|12/11/2017|1045.21
THDR|CA-2017-111682|17/06/2017|655.09
THDR|CA-2016-135545|24/11/2016|266.294
THDR|US-2016-164175|30/04/2016|213.115
THDR|CA-2015-106376|12/05/2015|1280.992
THDR|CA-2017-119823|06/04/2017|75.88
THDR|CA-2017-106075|18/09/2017|4.616
THDR|CA-2018-114440|14/09/2018|19.05
THDR|US-2016-134026|26/04/2016|1001.76
THDR|US-2018-118038|12/09/2018|38.196
THDR|US-2015-147606|26/11/2015|19.3
THDR|CA-2017-127208|06/12/2017|224.9
THDR|CA-2015-139451|10/12/2015|36.29
THDR|CA-2016-149734|09/03/2016|200.984
THDR|US-2018-119662|13/11/2018|230.376
THDR|CA-2018-140088|28/05/2018|301.96
THDR|CA-2018-155558|26/10/2018|26.15
THDR|CA-2017-159695|04/05/2017|158.368
THDR|CA-2017-109806|17/09/2017|100.164
THDR|CA-2016-149587|31/01/2016|99.26
THDR|US-2018-109484|11/06/2018|5.682
THDR|CA-2018-161018|11/09/2018|96.53
THDR|CA-2018-157833|17/06/2018|51.312
THDR|CA-2017-149223|09/06/2017|77.88
THDR|CA-2017-158568|29/08/2017|162.388
THDR|CA-2017-129903|12/01/2017|23.92
THDR|US-2016-156867|13/11/2016|378.138
THDR|CA-2018-119004|23/11/2018|105.408
THDR|CA-2016-129476|15/10/2016|339.96
THDR|CA-2018-146780|25/12/2018|41.96
THDR|CA-2017-128867|11/03/2017|103.2
THDR|CA-2015-115259|25/08/2015|199.256
THDR|CA-2016-110457|03/02/2016|787.53
THDR|US-2016-136476|04/05/2016|157.794
THDR|CA-2017-103730|06/12/2017|487.5
THDR|US-2015-152030|26/12/2015|600.558
THDR|US-2015-134614|20/09/2015|617.7
THDR|US-2018-107272|11/05/2018|246.38
THDR|US-2017-125969|11/06/2017|319.984
THDR|US-2018-164147|02/02/2018|159.73
THDR|CA-2017-145583|13/10/2017|256.196
THDR|CA-2017-110366|09/05/2017|82.8
THDR|CA-2018-106180|18/09/2018|163.38
THDR|CA-2018-155376|22/12/2018|839.43
THDR|CA-2016-110744|09/07/2016|671.93
THDR|CA-2015-110072|22/10/2015|93.888
THDR|CA-2017-114489|12/05/2017|2657.81
THDR|CA-2017-158834|13/03/2017|361.104
THDR|CA-2016-124919|31/05/2016|244.78
THDR|CA-2016-118948|28/05/2016|6.63
THDR|CA-2015-104269|03/01/2015|457.568
THDR|CA-2017-114104|20/11/2017|959.55
THDR|CA-2017-162733|05/11/2017|5.98
THDR|CA-2016-119697|28/12/2016|54.384
THDR|CA-2017-154508|16/11/2017|28.4
THDR|CA-2017-113817|11/07/2017|27.68
THDR|CA-2015-139892|09/08/2015|10539.896
THDR|CA-2015-118962|08/05/2015|472.044
THDR|US-2015-100853|14/09/2015|72.608
THDR|US-2018-152366|21/04/2018|97.264
THDR|US-2016-101511|21/11/2016|412.682
THDR|CA-2016-137225|15/12/2016|3.28
THDR|CA-2015-166191|12/05/2015|433.56
THDR|CA-2015-158274|19/11/2015|682.91
THDR|CA-2017-105018|28/11/2017|7.16
THDR|CA-2015-123260|26/08/2015|176.8
THDR|CA-2017-157000|16/07/2017|57.24
THDR|CA-2016-102281|10/12/2016|1668.988
THDR|CA-2016-131457|31/10/2016|14.28
THDR|CA-2015-140004|21/03/2015|13.456
THDR|CA-2018-107720|11/06/2018|46.26
THDR|US-2018-124303|07/06/2018|19.002
THDR|CA-2018-105074|24/06/2018|21.744
THDR|CA-2015-133690|08/03/2015|221.35
THDR|US-2018-116701|17/12/2018|66.284
THDR|CA-2018-126382|06/03/2018|35.168
THDR|CA-2018-108329|12/09/2018|444.768
THDR|CA-2018-135860|12/01/2018|376.1
THDR|CA-2016-101007|02/09/2016|20.8
THDR|CA-2016-146262|01/02/2016|1816.696
THDR|CA-2017-130162|28/10/2017|395.436
