Datatype|TransactionID|ProductID|ProductName|SoldPrice
TITM|CA-2017-152156|FUR-BO-10001798|Bush Somerset Collection Bookcase|261.96
TITM|CA-2017-152156|FUR-CH-10000454|Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back|731.94
TITM|CA-2017-138688|OFF-LA-10000240|Self-Adhesive Address Labels for Typewriters by Universal|14.62
TITM|US-2016-108966|FUR-TA-10000577|Bretford CR4500 Series Slim Rectangular Table|957.5775
TITM|US-2016-108966|OFF-ST-10000760|Eldon Fold 'N Roll Cart System|22.368
TITM|CA-2015-115812|FUR-FU-10001487|Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood|48.86
TITM|CA-2015-115812|OFF-AR-10002833|Newell 322|7.28
TITM|CA-2015-115812|TEC-PH-10002275|Mitel 5320 IP Phone VoIP phone|907.152
TITM|CA-2015-115812|OFF-BI-10003910|DXL Angle-View Binders with Locking Rings by Samsill|18.504
TITM|CA-2015-115812|OFF-AP-10002892|Belkin F5C206VTEL 6 Outlet Surge|114.9
TITM|CA-2015-115812|FUR-TA-10001539|Chromcraft Rectangular Conference Tables|1706.184
TITM|CA-2015-115812|TEC-PH-10002033|Konftel 250 Conference phone - Charcoal black|911.424
TITM|CA-2018-114412|OFF-PA-10002365|Xerox 1967|15.552
TITM|CA-2017-161389|OFF-BI-10003656|Fellowes PB200 Plastic Comb Binding Machine|407.976
TITM|US-2016-118983|OFF-AP-10002311|Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter|68.81
TITM|US-2016-118983|OFF-BI-10000756|Storex DuraTech Recycled Plastic Frosted Binders|2.544
TITM|CA-2015-105893|OFF-ST-10004186|"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"|665.88
TITM|CA-2015-167164|OFF-ST-10000107|Fellowes Super Stor/Drawer|55.5
TITM|CA-2015-143336|OFF-AR-10003056|Newell 341|8.56
TITM|CA-2015-143336|TEC-PH-10001949|Cisco SPA 501G IP Phone|213.48
TITM|CA-2015-143336|OFF-BI-10002215|"Wilson Jones Hanging View Binder, White, 1"""|22.72
TITM|CA-2017-137330|OFF-AR-10000246|Newell 318|19.46
TITM|CA-2017-137330|OFF-AP-10001492|Acco Six-Outlet Power Strip, 4' Cord Length|60.34
TITM|US-2018-156909|FUR-CH-10002774|Global Deluxe Stacking Chair, Gray|71.372
TITM|CA-2016-106320|FUR-TA-10000577|Bretford CR4500 Series Slim Rectangular Table|1044.63
TITM|CA-2017-121755|OFF-BI-10001634|Wilson Jones Active Use Binders|11.648
TITM|CA-2017-121755|TEC-AC-10003027|Imation 8GB Mini TravelDrive USB 2.0 Flash Drive|90.57
TITM|US-2016-150630|FUR-BO-10004834|Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish|3083.43
TITM|US-2016-150630|OFF-BI-10000474|Avery Recycled Flexi-View Covers for Binding Systems|9.618
